Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
0- 4 ani, Total, Total, Bihor, Anul 2021, Numar persoane, 30360
0- 4 ani, Total, Total, Bihor, Anul 2022, Numar persoane, 29983
0- 4 ani, Total, Total, Bihor, Anul 2023, Numar persoane, 29420
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2021, Numar persoane, 17159
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2022, Numar persoane, 16880
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 16309
0- 4 ani, Total, Total, Cluj, Anul 2021, Numar persoane, 36843
0- 4 ani, Total, Total, Cluj, Anul 2022, Numar persoane, 36353
0- 4 ani, Total, Total, Cluj, Anul 2023, Numar persoane, 35535
0- 4 ani, Total, Total, Maramures, Anul 2021, Numar persoane, 23635
0- 4 ani, Total, Total, Maramures, Anul 2022, Numar persoane, 22554
0- 4 ani, Total, Total, Maramures, Anul 2023, Numar persoane, 21778
0- 4 ani, Total, Total, Satu Mare, Anul 2021, Numar persoane, 17696
0- 4 ani, Total, Total, Satu Mare, Anul 2022, Numar persoane, 16732
0- 4 ani, Total, Total, Satu Mare, Anul 2023, Numar persoane, 16187
0- 4 ani, Total, Total, Salaj, Anul 2021, Numar persoane, 11932
0- 4 ani, Total, Total, Salaj, Anul 2022, Numar persoane, 11569
0- 4 ani, Total, Total, Salaj, Anul 2023, Numar persoane, 11333
0- 4 ani, Total, Total, Alba, Anul 2021, Numar persoane, 15374
0- 4 ani, Total, Total, Alba, Anul 2022, Numar persoane, 14912
0- 4 ani, Total, Total, Alba, Anul 2023, Numar persoane, 14619
0- 4 ani, Total, Total, Brasov, Anul 2021, Numar persoane, 32526
0- 4 ani, Total, Total, Brasov, Anul 2022, Numar persoane, 31480
0- 4 ani, Total, Total, Brasov, Anul 2023, Numar persoane, 30735
0- 4 ani, Total, Total, Covasna, Anul 2021, Numar persoane, 11016
0- 4 ani, Total, Total, Covasna, Anul 2022, Numar persoane, 10848
0- 4 ani, Total, Total, Covasna, Anul 2023, Numar persoane, 10545
0- 4 ani, Total, Total, Harghita, Anul 2021, Numar persoane, 15974
0- 4 ani, Total, Total, Harghita, Anul 2022, Numar persoane, 15879
0- 4 ani, Total, Total, Harghita, Anul 2023, Numar persoane, 15477
0- 4 ani, Total, Total, Mures, Anul 2021, Numar persoane, 28866
0- 4 ani, Total, Total, Mures, Anul 2022, Numar persoane, 28014
0- 4 ani, Total, Total, Mures, Anul 2023, Numar persoane, 27342
0- 4 ani, Total, Total, Sibiu, Anul 2021, Numar persoane, 22510
0- 4 ani, Total, Total, Sibiu, Anul 2022, Numar persoane, 21752
0- 4 ani, Total, Total, Sibiu, Anul 2023, Numar persoane, 20997
0- 4 ani, Total, Total, Bacau, Anul 2021, Numar persoane, 32586
0- 4 ani, Total, Total, Bacau, Anul 2022, Numar persoane, 30943
0- 4 ani, Total, Total, Bacau, Anul 2023, Numar persoane, 30160
0- 4 ani, Total, Total, Botosani, Anul 2021, Numar persoane, 19620
0- 4 ani, Total, Total, Botosani, Anul 2022, Numar persoane, 19168
0- 4 ani, Total, Total, Botosani, Anul 2023, Numar persoane, 19008
